userId,movieId,rating,timestamp
535,2881,1.0,939028580
221,2,3.5,1111177796
377,6654,3.5,1340347438
22,3210,3.5,1268726113
448,109416,2.0,1484509578
18,1221,5.0,1460242083
409,2109,5.0,967920117
135,3255,3.0,1009691959
7,37741,3.5,1162163504
596,2918,3.0,1535827268
489,58559,4.0,1334170125
28,3107,2.0,1242290922
178,38061,5.0,1163673924
566,587,3.0,849005614
217,2001,3.0,955940667
104,5957,3.5,1146222373
200,1,3.5,1229886312
68,2193,0.5,1158534171
313,379,1.0,1030475278
336,50,5.0,1120568496
91,593,4.5,1112712144
569,595,4.0,849190632
294,2321,2.0,966595143
484,216,4.5,1342298038
599,1480,2.5,1498514128
476,596,5.0,835021800
103,1271,4.0,1431957950
111,122918,4.0,1516140666
414,34334,2.5,1216151116
578,2496,4.5,1300995952
156,1094,4.0,946799057
112,292,4.0,1513989930
414,34162,3.0,1216149187
112,141,4.0,1513989961
33,2302,3.0,939718916
403,47,5.0,1225243620
318,5617,4.5,1419078384
140,1198,4.0,942841170
256,104841,4.0,1446580794
559,342,3.0,845476247
610,135569,3.5,1493846966
347,435,3.0,847645925
454,26131,3.0,1284801901
66,6287,4.5,1113190421
448,2420,2.0,1019138730
314,276,3.0,834241987
33,1658,2.0,939654815
182,4738,4.5,1055155448
351,47,4.5,1326027964
483,475,4.0,1181495348
310,2524,0.5,1078649585
409,3048,1.0,967912852
474,1748,4.0,1132173434
279,4886,3.0,1506395435
531,2640,3.0,1032961914
169,3967,5.0,1079310696
68,56174,3.5,1218679021
542,3863,4.0,1163388108
1,2054,4.0,964981747
159,104374,5.0,1508640504
318,616,3.5,1413054669
415,1252,4.5,1382470024
318,40815,3.0,1256504289
607,3418,4.0,963079058
307,266,3.5,1186161585
346,1212,4.0,1125857669
217,748,3.0,955941055
610,145951,0.5,1493849019
361,377,3.0,1204045311
555,2018,5.0,978749054
305,80590,4.0,1460564107
346,8981,4.0,1125858461
448,78116,3.5,1313949876
561,1196,5.0,1491090693
474,2579,4.0,1046978769
474,8773,3.0,1120662162
68,2840,3.5,1261623841
224,505,2.0,971811286
19,3706,3.0,965711128
519,6378,4.0,1518478826
226,7009,3.0,1099625049
148,5952,3.0,1482548769
480,2539,2.5,1179179110
219,317,3.0,1194740802
267,2396,5.0,959808960
597,1073,5.0,941640238
559,1356,4.0,865095647
598,54001,5.0,1430616999
5,290,5.0,847435311
103,3668,4.0,1431970335
217,2571,3.0,955935905
610,6754,3.0,1493846017
448,2353,3.0,1019142275
466,31685,3.0,1439915726
21,2763,4.0,1403460837
205,356,4.0,1519900230
453,912,3.0,1005965667
232,3753,4.5,1217540757
18,502,2.0,1456864767
18,1210,4.5,1455209798
584,410,3.0,834987672
525,71462,4.0,1476477288
307,1513,1.5,1186162447
41,50,3.0,1459367479
217,2094,3.0,955941099
294,1441,4.0,966595946
475,5816,4.5,1498030137
438,2231,3.0,1105671103
462,7920,3.5,1123891062
292,45722,4.0,1306584101
140,440,4.5,1055093032
305,91500,2.0,1518198380
483,2012,4.0,1178293737
352,107406,4.5,1493674746
608,3361,2.5,1117503046
387,3551,3.5,1094876581
525,1029,1.5,1476480470
177,77846,5.0,1435803342
21,111362,3.5,1412967458
274,4480,3.5,1172030344
274,55282,3.0,1205809037
313,2797,1.0,1030476026
221,1356,3.5,1111177434
377,71302,4.5,1340347445
217,1265,3.0,955943501
290,3095,5.0,974938065
600,1244,5.0,1237713463
517,586,5.0,1487954357
381,27815,4.5,1164383471
20,5481,1.0,1054037494
86,4226,4.5,1344082569
597,7,1.0,941558874
517,91488,4.0,1487956564
221,5291,4.5,1119983899
351,8533,4.0,1326061828
380,3917,3.0,1495475489
555,1711,5.0,978745163
480,2424,2.5,1179178726
232,3745,2.5,1218169317
308,54286,0.5,1421373781
332,2396,4.0,1352674449
59,2763,5.0,953609283
599,5081,2.0,1519261970
111,39446,0.5,1516141306
28,7153,3.5,1234338343
414,2950,2.0,961514611
334,4896,3.5,1225476637
307,4749,0.5,1186084341
68,4085,2.0,1158532324
212,2048,3.5,1532362079
305,65514,5.0,1494084333
563,91628,2.5,1446856793
346,3174,3.0,1094646665
238,4310,4.0,1007931002
317,80906,5.0,1430513631
274,54881,3.5,1288172705
438,7169,3.5,1105654186
141,5991,3.5,1513132416
84,165,3.0,858772953
470,110,5.0,849075143
232,72731,3.5,1283133148
387,3503,4.5,1094875508
455,317,3.0,836436023
274,5804,2.5,1172026285
103,4993,4.0,1431955231
444,500,3.0,839311804
606,7584,4.0,1171377974
474,2683,3.0,1046870775
448,72011,3.0,1321712791
68,3034,3.0,1158534005
309,6706,3.5,1088521739
489,5881,4.0,1333234031
561,5349,3.5,1491091129
75,3681,5.0,1158990136
14,448,3.0,835442201
185,3897,4.0,1044311358
51,4865,5.0,1230930023
553,50851,5.0,1219556733
305,112852,4.5,1460136524
6,65,3.0,845555070
264,527,4.0,1136979020
527,1333,5.0,1033174126
314,1374,3.0,852051027
135,1129,4.0,1009693087
288,2922,3.0,985625095
418,1259,3.5,1461865910
480,3052,1.0,1179161500
292,91500,4.5,1421974569
438,31420,3.5,1121345394
19,1748,3.0,965703785
361,32019,4.0,1204041913
474,4484,3.5,1060104442
471,8636,2.5,1496671897
603,97,4.0,963179791
426,296,3.5,1451081883
553,32,5.0,1219564918
385,1022,3.0,842892370
610,159093,3.0,1493847704
28,2268,3.0,1242031764
594,7450,4.5,1108975880
439,4022,4.5,1436943813
597,2421,3.0,941640048
592,480,5.0,837350083
577,858,5.0,945966632
169,1911,4.0,1078285470
213,8360,5.0,1316196196
446,440,3.0,843839327
487,750,3.5,1428574422
419,377,4.0,1321659041
380,1876,3.0,1493765186
169,1381,3.0,1059427837
57,379,1.0,972175617
608,2174,3.0,1117408291
182,1274,5.0,1054779799
200,6373,4.0,1229887107
246,26662,4.5,1354134469
332,65514,3.5,1352674106
501,86,3.0,844974037
332,54286,3.5,1352671774
606,2421,2.5,1171311778
380,68791,3.0,1493420793
432,5608,4.0,1315245206
215,1297,5.0,1260908572
50,3868,3.0,1514238939
391,1466,3.0,1032389940
414,2301,3.0,961596045
414,277,2.0,961518753
62,184471,3.5,1528024895
480,317,2.5,1179178522
386,586,3.0,842610325
266,1614,1.0,945669581
438,33004,1.5,1115083442
610,4344,2.5,1493847413
27,3681,4.0,965149571
570,1573,2.5,1181478144
599,5266,2.5,1498515721
537,53322,5.0,1424138269
317,76077,2.0,1430513625
122,5673,4.5,1461562740
268,1923,3.0,940173387
590,349,3.5,1258420549
268,1966,4.0,940193664
328,1394,3.5,1494210555
305,90249,4.0,1460304885
177,1961,5.0,1435720709
414,2402,3.0,961512658
327,745,3.5,1234788133
483,1172,5.0,1178211305
555,3688,1.0,978823389
397,1953,4.5,1181966434
62,63072,4.0,1522533605
18,71108,4.5,1486073568
167,5349,4.0,1154721636
378,71535,2.0,1445347912
608,185,3.0,1117415385
422,1387,5.0,986173047
607,2194,5.0,963078933
148,54001,4.0,1482548674
610,112175,5.0,1493846811
140,5420,3.0,1038224094
414,6294,2.0,1095466517
436,362,3.0,833530341
346,7008,5.0,1094646563
514,135216,0.5,1536380899
599,1762,2.0,1498510248
20,239,4.5,1054038398
232,6539,4.5,1078451197
328,1375,3.5,1494210909
86,3996,3.5,1344083059
414,3946,3.0,971182655
368,3197,3.0,975829427
423,457,4.5,1155285850
432,1258,3.0,1315244949
74,7158,3.0,1207501583
249,1517,4.0,1395827257
610,96832,5.0,1479545188
188,356,5.0,962559856
462,102125,3.0,1381362690
603,3344,4.0,953925513
414,8914,4.0,1113229773
169,2617,3.0,1079310582
232,8814,2.5,1218169285
177,42002,4.0,1435837362
414,2125,3.0,961513923
252,90866,4.5,1498284772
187,27865,2.0,1161850420
294,180,2.0,966594989
489,2321,1.0,1334170525
489,6373,1.5,1334171090
82,2012,4.0,1084468233
499,48394,3.5,1289960518
346,306,4.5,1094645835
20,2300,5.0,1054147430
599,3499,2.5,1498515336
64,3752,3.0,1161559618
47,2291,2.5,1496212183
483,370,4.0,1181494342
477,104,4.0,1200940046
599,6625,2.5,1519332333
122,115122,5.0,1461562651
269,737,3.0,850865553
169,3,5.0,1078284750
135,2706,4.0,1009692024
121,597,3.0,847656027
414,87430,2.0,1511537183
480,3793,4.0,1179163791
410,3006,4.0,990807637
348,260,4.5,1378850273
6,159,3.0,845555006
599,1382,2.0,1519236096
607,3361,4.0,963079115
182,176,4.5,1069633835
367,3565,4.0,997813223
534,5621,3.5,1459788952
